id,answer
0021dd37ed4e,21
0022a32a03ec,32
004f69ee332e,1200
006ba2f12268,260
0121d5fcd693,539
015d6d3dfdb8,10
020cc9fde44f,71
0275626313c6,79
02861dd1727e,49
02ce63398fc0,311
02f88d9dc72b,4
0332cf7335e2,15
0364bf5a26ba,11
037b96d1d1ce,210
039ab5ba5785,9
039b80f727f8,1
03fe65cf75a0,36
04035200f8d4,15
0411677942a4,16
043611204f62,83
04880848c9c7,21
04cf99a2b4f0,13
04d0723b403d,142
04df6bad8852,118000
04ee06b5b674,70
04f3d918dbac,38
052d09443246,2
053af2a2515c,1198
05b75ae3b577,16
05bc25dbed7b,110
05c361337741,155
05e6a3f2d91c,280
061271cb0fca,23
0641ac902a72,20
065e98aa7b6b,40
0661b7d4c391,3200
06983a72c991,114200
0744d3ae777c,12
075eb9f33ee4,391
076400b95c48,9
0783bf04d401,32
07f685a82ebb,3
08107e554377,5
082a5d11fa26,90
085d29973a16,45
099147477f21,3
0993d299d92f,51
0a3febe4a9ad,38
0a96b0e9b9a4,4
0a97f5703f70,10
0b1fb499f783,500
0b8fbfd5e547,23
0cae8735790e,26
0ce132c3067c,120
0d51e4285d0e,251
0d67c6ddffb6,27
0d6e2cf1d55b,120
0db70c69bd3d,17
0dbe616aefb8,7
0df343aefbed,5
0df83fbc9d4c,200
0e497c6fbebe,81
0e7081b46ed3,76
0eadb4fd2f18,26
0f243eae3512,2
0f2d4efee90e,5
0f47af683bca,14
0f539eb208aa,15
0f7ad7ea9c8a,48
0f8c848055a8,24
0f98c7c377ee,570
0fa2e1d78edf,15
0fa52dd891ba,16
0fac674b71bd,70
0fb07b934b24,18
0feb0dc28e74,6
0ff223325116,32
105f5b444bf3,60000
10986fc8112b,21
10a925f0daf9,2
10b821015ad1,296
10bac0c69a96,12
10f1d701efdf,5
1144ae926828,21
11514dcfa585,195
1176ca2f20ec,40
119c41e1f3d6,3001
119ee5d23be3,16
11fd79c37a87,85
128e2d49b50e,12
1291b39f57e8,5
12ca961544b2,7
12fdaa113dfa,100
133394b26ce4,5
1350e37bc5f2,60
13559de1bafb,320
13708cec823d,5
1378a7f5e75b,23
13984663fa34,18
14021e315e68,17
140de7ec883b,16
1459310e2267,6
1529f3cb77b6,11
156318be8fd4,4001
